case,curve,time_h_from_rainfall_onset,value,unit,y_axis,absolute_time,relative_displacement_mm,main_damage_core_size_voxels
S1,blue_surface_displacement,0.118889,-0.2,mm,left_mm,2025-7-7 14:07,-0.2,
S1,blue_surface_displacement,0.12,-0.2,mm,left_mm,2025-7-7 14:07,-0.2,
S1,blue_surface_displacement,0.121111,-0.2,mm,left_mm,2025-7-7 14:07,-0.2,
S1,blue_surface_displacement,0.122222,-0.2,mm,left_mm,2025-7-7 14:07,-0.2,
S1,blue_surface_displacement,0.123333,-0.2,mm,left_mm,2025-7-7 14:07,-0.2,
S1,blue_surface_displacement,0.124444,-0.2,mm,left_mm,2025-7-7 14:07,-0.2,
S1,blue_surface_displacement,0.125556,-0.2,mm,left_mm,2025-7-7 14:07,-0.2,
S1,blue_surface_displacement,0.126667,-0.2,mm,left_mm,2025-7-7 14:07,-0.2,
S1,blue_surface_displacement,0.127778,-0.2,mm,left_mm,2025-7-7 14:07,-0.2,
S1,blue_surface_displacement,0.128889,-0.2,mm,left_mm,2025-7-7 14:07,-0.2,
S1,blue_surface_displacement,0.13,-0.2,mm,left_mm,2025-7-7 14:07,-0.2,
S1,blue_surface_displacement,0.131111,-0.2,mm,left_mm,2025-7-7 14:07,-0.2,
S1,blue_surface_displacement,0.132222,-0.2,mm,left_mm,2025-7-7 14:07,-0.2,
S1,blue_surface_displacement,0.133333,-0.2,mm,left_mm,2025-7-7 14:08,-0.2,
S1,blue_surface_displacement,0.134444,-0.2,mm,left_mm,2025-7-7 14:08,-0.2,
S1,blue_surface_displacement,0.135556,-0.2,mm,left_mm,2025-7-7 14:08,-0.2,
S1,blue_surface_displacement,0.136667,-0.2,mm,left_mm,2025-7-7 14:08,-0.2,
S1,blue_surface_displacement,0.137778,-0.2,mm,left_mm,2025-7-7 14:08,-0.2,
S1,blue_surface_displacement,0.138889,-0.2,mm,left_mm,2025-7-7 14:08,-0.2,
S1,blue_surface_displacement,0.14,-0.2,mm,left_mm,2025-7-7 14:08,-0.2,
S1,blue_surface_displacement,0.141111,-0.2,mm,left_mm,2025-7-7 14:08,-0.2,
S1,blue_surface_displacement,0.142222,-0.2,mm,left_mm,2025-7-7 14:08,-0.2,
S1,blue_surface_displacement,0.143333,-0.2,mm,left_mm,2025-7-7 14:08,-0.2,
S1,blue_surface_displacement,0.144444,-0.2,mm,left_mm,2025-7-7 14:08,-0.2,
S1,blue_surface_displacement,0.145556,-0.2,mm,left_mm,2025-7-7 14:08,-0.2,
S1,blue_surface_displacement,0.146667,-0.2,mm,left_mm,2025-7-7 14:08,-0.2,
S1,blue_surface_displacement,0.147778,-0.2,mm,left_mm,2025-7-7 14:08,-0.2,
S1,blue_surface_displacement,0.148889,-0.2,mm,left_mm,2025-7-7 14:08,-0.2,
S1,blue_surface_displacement,0.15,-0.2,mm,left_mm,2025-7-7 14:09,-0.2,
S1,blue_surface_displacement,0.151111,-0.2,mm,left_mm,2025-7-7 14:09,-0.2,
S1,blue_surface_displacement,0.152222,-0.2,mm,left_mm,2025-7-7 14:09,-0.2,
S1,blue_surface_displacement,0.153333,-0.2,mm,left_mm,2025-7-7 14:09,-0.2,
S1,blue_surface_displacement,0.154444,-0.2,mm,left_mm,2025-7-7 14:09,-0.2,
S1,blue_surface_displacement,0.155556,-0.2,mm,left_mm,2025-7-7 14:09,-0.2,
S1,blue_surface_displacement,0.156667,-0.2,mm,left_mm,2025-7-7 14:09,-0.2,
S1,blue_surface_displacement,0.157778,-0.2,mm,left_mm,2025-7-7 14:09,-0.2,
S1,blue_surface_displacement,0.158889,-0.2,mm,left_mm,2025-7-7 14:09,-0.2,
S1,blue_surface_displacement,0.16,-0.2,mm,left_mm,2025-7-7 14:09,-0.2,
S1,blue_surface_displacement,0.161111,-0.2,mm,left_mm,2025-7-7 14:09,-0.2,
S1,blue_surface_displacement,0.162222,-0.2,mm,left_mm,2025-7-7 14:09,-0.2,
S1,blue_surface_displacement,0.163333,-0.2,mm,left_mm,2025-7-7 14:09,-0.2,
S1,blue_surface_displacement,0.164444,-0.2,mm,left_mm,2025-7-7 14:09,-0.2,
S1,blue_surface_displacement,0.165556,-0.2,mm,left_mm,2025-7-7 14:09,-0.2,
S1,blue_surface_displacement,0.166667,-0.2,mm,left_mm,2025-7-7 14:10,-0.2,
S1,blue_surface_displacement,0.167778,-0.2,mm,left_mm,2025-7-7 14:10,-0.2,
S1,blue_surface_displacement,0.168889,-0.2,mm,left_mm,2025-7-7 14:10,-0.2,
S1,blue_surface_displacement,0.17,-0.2,mm,left_mm,2025-7-7 14:10,-0.2,
S1,blue_surface_displacement,0.171111,-0.2,mm,left_mm,2025-7-7 14:10,-0.2,
S1,blue_surface_displacement,0.172222,-0.2,mm,left_mm,2025-7-7 14:10,-0.2,
S1,blue_surface_displacement,0.173333,-0.2,mm,left_mm,2025-7-7 14:10,-0.2,
S1,blue_surface_displacement,0.174444,-0.2,mm,left_mm,2025-7-7 14:10,-0.2,
S1,blue_surface_displacement,0.175556,-0.2,mm,left_mm,2025-7-7 14:10,-0.2,
S1,blue_surface_displacement,0.176667,-0.2,mm,left_mm,2025-7-7 14:10,-0.2,
S1,blue_surface_displacement,0.177778,-0.2,mm,left_mm,2025-7-7 14:10,-0.2,
S1,blue_surface_displacement,0.178889,-0.2,mm,left_mm,2025-7-7 14:10,-0.2,
S1,blue_surface_displacement,0.18,-0.2,mm,left_mm,2025-7-7 14:10,-0.2,
S1,blue_surface_displacement,0.181111,-0.2,mm,left_mm,2025-7-7 14:10,-0.2,
S1,blue_surface_displacement,0.182222,-0.2,mm,left_mm,2025-7-7 14:10,-0.2,
S1,blue_surface_displacement,0.183333,-0.2,mm,left_mm,2025-7-7 14:11,-0.2,
S1,blue_surface_displacement,0.184444,-0.2,mm,left_mm,2025-7-7 14:11,-0.2,
S1,blue_surface_displacement,0.185556,-0.2,mm,left_mm,2025-7-7 14:11,-0.2,
S1,blue_surface_displacement,0.186667,-0.2,mm,left_mm,2025-7-7 14:11,-0.2,
S1,blue_surface_displacement,0.187778,-0.2,mm,left_mm,2025-7-7 14:11,-0.2,
S1,blue_surface_displacement,0.188889,-0.2,mm,left_mm,2025-7-7 14:11,-0.2,
S1,blue_surface_displacement,0.19,-0.2,mm,left_mm,2025-7-7 14:11,-0.2,
S1,blue_surface_displacement,0.191111,-0.2,mm,left_mm,2025-7-7 14:11,-0.2,
S1,blue_surface_displacement,0.192222,-0.2,mm,left_mm,2025-7-7 14:11,-0.2,
S1,blue_surface_displacement,0.193333,-0.2,mm,left_mm,2025-7-7 14:11,-0.2,
S1,blue_surface_displacement,0.194444,-0.2,mm,left_mm,2025-7-7 14:11,-0.2,
S1,blue_surface_displacement,0.195556,-0.2,mm,left_mm,2025-7-7 14:11,-0.2,
S1,blue_surface_displacement,0.196667,-0.2,mm,left_mm,2025-7-7 14:11,-0.2,
S1,blue_surface_displacement,0.197778,-0.2,mm,left_mm,2025-7-7 14:11,-0.2,
S1,blue_surface_displacement,0.198889,-0.2,mm,left_mm,2025-7-7 14:11,-0.2,
S1,blue_surface_displacement,0.2,-0.2,mm,left_mm,2025-7-7 14:12,-0.2,
S1,blue_surface_displacement,0.201111,-0.2,mm,left_mm,2025-7-7 14:12,-0.2,
S1,blue_surface_displacement,0.202222,-0.2,mm,left_mm,2025-7-7 14:12,-0.2,
S1,blue_surface_displacement,0.203333,-0.2,mm,left_mm,2025-7-7 14:12,-0.2,
