PWP-0.25m,Normalized CAT-RMS,PVP-0.50m,Normalized CAT-RMS,PVP-0.75m,Normalized CAT-RMS
x1,y1,x2,y2,x3,y3
1.9E-4,0,0.02319,0,0.02878,0.0016
2.7E-4,0,0.02255,0,0.02851,0.0016
6E-5,0,0.02204,0,0.03003,0.0016
-5.40E-04,0,0.02186,0,0.02776,0.0016
-5.30E-04,0,0.02141,0,0.0291,0.0016
-1.50E-04,0,0.02146,0,0.02816,0.0016
-1.10E-04,0,0.02117,0,0.02671,0.0016
-5.00E-04,0,0.02088,0,0.02866,0.0016
-1.40E-04,0,0.02075,0,0.02685,0.0016
-7.70E-04,0,0.02021,0,0.02744,0.0016
-7.50E-04,0,0.01999,0,0.02901,0.0016
-7.10E-04,0,0.02075,0,0.02641,0.0016
-3.90E-04,0,0.02015,0,0.02832,0.0016
-4.60E-04,0,0.02,0,0.02759,0.00162
-8.50E-04,0,0.01999,0,0.02697,0.00162
-9.20E-04,0,0.01967,0,0.02886,0.00162
-8.40E-04,0,0.01937,0,0.0266,0.00162
-7.10E-04,0,0.01957,0,0.02715,0.00162
-3.00E-04,0,0.01894,0,0.02874,0.00162
-8.60E-04,0,0.01877,0,0.02647,0.00162
-0.00111,0,0.01861,0,0.02773,0.00162
-0.00102,0,0.01788,0,0.02786,0.00163
-7.20E-04,0,0.01773,0,0.0257,0.00163
-0.00144,0,0.01803,0,0.02799,0.00163
-0.0016,0,0.01776,0,0.02683,0.00163
-0.00151,0,0.01741,0,0.02599,0.00163
-0.00133,0,0.01685,0,0.02814,0.00163
-0.00129,0,0.01715,0,0.02644,0.00163
-0.00108,0,0.01719,0,0.02654,0.00163
-9.80E-04,0,0.01736,0,0.02794,0.00163
-0.00101,0,0.01762,0,0.02562,0.00163
-0.00125,0,0.01749,0,0.0272,0.00163
-0.00131,0,0.01755,0,0.02677,0.00163
-0.00118,0,0.0174,0,0.02564,0.00163
-0.00176,0,0.01745,0,0.02748,0.00163
-0.0016,0,0.01765,0,0.0263,0.00163
-0.00139,0,0.01764,0,0.02532,0.00163
-0.00186,0,0.01721,0,0.02762,0.00163
-0.00122,0,0.01722,0,0.02569,0.00163
-0.00136,0,0.01709,0,0.02597,0.00163
-0.0018,0,0.01763,0,0.02753,0.00163
-0.00163,0,0.01725,0,0.02548,0.00163
-0.00179,0,0.01715,0,0.02649,0.00163
-0.00172,0,0.01661,0,0.02742,0.00163
-0.00189,0,0.01672,0,0.02569,0.00163
-0.00206,0,0.01696,0,0.02548,0.00167
-0.00211,0,0.01645,0,0.02706,0.00167
-0.00191,0,0.01664,0,0.0261,0.00167
-0.00194,0,0.01644,0,0.02519,0.00167
-0.00211,0,0.01599,0,0.02681,0.00167
-0.00183,0,0.01631,0,0.02693,0.00167
-0.00198,0,0.01663,0,0.02537,0.00167
-0.00224,0,0.01686,0,0.02615,0.00167
-0.00223,0,0.01667,0,0.02774,0.00167
-0.00255,0,0.01664,0,0.02493,0.00167
-0.00235,0,0.01668,0,0.02557,0.00167
-0.00234,0,0.01686,0,0.02725,0.00167
-0.00227,0,0.01706,0,0.02543,0.00167
-0.00231,0,0.01699,0,0.0263,0.00167
-0.00235,0,0.01648,0,0.02724,0.00167
-0.00228,0,0.01684,0,0.02541,0.00167
-0.0027,0,0.01632,0,0.02546,0.00167
-0.00279,0,0.01586,0,0.02749,0.00167
-0.00271,0,0.01641,0,0.02612,0.00167
-0.00258,0,0.0165,0,0.02635,0.00167
-0.00277,0,0.01643,0,0.02801,0.00167
-0.00273,0,0.01646,0,0.02601,0.00167
-0.00274,0,0.01626,0,0.02576,0.00167
-0.00286,0,0.01616,0,0.02785,0.00167
-0.00316,0,0.01639,0,0.02627,0.00167
-0.003,0,0.01673,0,0.02623,0.00167
-0.003,0,0.01745,0,0.02822,0.00167
-0.00294,0,0.01791,0,0.02602,0.00167
-0.00254,0,0.01773,0,0.02582,0.00167
-0.00245,0,0.01777,0,0.02793,0.00167
-0.00285,0,0.01759,0,0.02667,0.00167
-0.00246,0,0.01777,0,0.02647,0.00167
-0.00284,0,0.01792,0,0.02778,0.00167
-0.00279,0,0.01787,0,0.02602,0.00167
-0.00233,0,0.01788,0,0.0262,0.00167
-0.00255,0,0.01804,0,0.02838,0.00167
-0.00272,0,0.01805,0,0.02682,0.00167
-0.00251,0,0.0179,0,0.0266,0.00167
-0.0029,0,0.01787,0,0.02824,0.00167
-0.0028,0,0.01808,0,0.02651,0.00167
-0.00299,0,0.01814,0,0.02702,0.00167
-0.0031,0,0.01805,0,0.02891,0.00167
-0.00264,0,0.01835,0,0.02708,0.00167
-0.00316,0,0.01832,0,0.02761,0.00167
-0.00316,0,0.01856,0,0.02988,0.00167
-0.00327,0,0.0182,0,0.02802,0.00167
-0.00326,0,0.01803,0,0.0285,0.00167
-0.00323,0,0.01785,0,0.03,0.00167
-0.00341,0,0.01783,0,0.02799,0.00167
-0.00295,0,0.01848,0,0.02877,0.00167
-0.00306,0,0.01811,0,0.02998,0.00167
-0.00303,0,0.0183,0,0.0282,0.00167
-0.00288,0,0.01854,0,0.02867,0.00167
-0.00273,0,0.0185,0,0.03006,0.00167
-0.00307,0,0.0185,0,0.02849,0.00167
-0.00288,0,0.01899,0,0.02868,0.00167
-0.0033,0,0.01899,0,0.03038,0.00167
-0.00308,0,0.01893,0,0.02856,0.00167
-0.00292,0,0.01886,0,0.02827,0.00167
-0.00321,0,0.0189,0,0.03026,0.00167
