MS-0.25m,Normalized CAT-RMS,MS-0.75m,Normalized CAT-RMS
x1,y1,x2,y2
27.49959,0,36.89998,0.00294
27.60108,0,36.89998,0.00294
27.60108,0,37.00208,0.00294
27.49959,0,37.00208,0.00294
27.60108,0,36.89998,0.00294
27.49959,0,36.89998,0.00294
27.60108,0,37.00208,0.00294
27.49959,0,37.00208,0.00294
27.49959,0,37.00208,0.00294
27.60108,0,37.00208,0.00296
27.49959,0,36.89998,0.00296
27.60108,0,37.00208,0.00296
27.60108,0,37.00208,0.00296
27.60108,0,37.00208,0.00296
27.49959,0,37.00208,0.00296
27.60108,0,36.89998,0.00296
27.60108,0,37.00208,0.00296
27.60108,0,36.89998,0.00296
27.60108,0,37.00208,0.00296
27.60108,0,36.89998,0.00296
27.60108,0,36.89998,0.00296
27.60108,0,37.00208,0.00296
27.60108,0,36.89998,0.00296
27.49959,0,37.00208,0.00296
27.49959,0,36.89998,0.00296
27.49959,0,36.79816,0.00296
27.60108,0,37.00208,0.00296
27.60108,0,36.89998,0.00296
27.49959,0,36.79816,0.00296
27.60108,0,36.89998,0.00296
27.60108,0,37.00208,0.00296
27.60108,0,37.00208,0.00301
27.60108,0,37.00208,0.00301
27.60108,0,37.00208,0.00301
27.49959,0,36.89998,0.00301
27.60108,0,36.89998,0.00301
27.49959,0,37.00208,0.00301
27.60108,0,36.89998,0.00301
27.60108,0,37.00208,0.00301
27.49959,0,36.89998,0.00301
27.49959,0,37.00208,0.00301
27.49959,0,37.09592,0.00301
27.60108,0,37.00208,0.00301
27.49959,0,37.00208,0.00301
27.49959,0,36.89998,0.00301
27.49959,0,36.89998,0.00301
27.49959,0,37.00208,0.00301
27.60108,0,37.00208,0.00301
27.49959,0,37.00208,0.00301
27.49959,0,36.89998,0.00301
27.49959,0,37.00208,0.00301
27.49959,0,36.89998,0.00301
27.49959,0,37.00208,0.00301
27.60108,0,36.89998,0.00301
27.60108,0,37.00208,0.00301
27.49959,0,37.00208,0.00301
27.49959,0,36.89998,0.00301
27.49959,0,36.89998,0.00301
27.49959,0,36.89998,0.00301
27.49959,0,37.09592,0.00301
27.60108,0,37.00208,0.00301
27.60108,0,36.89998,0.00301
27.49959,0,37.00208,0.00301
27.49959,0,36.89998,0.00301
27.60108,0,36.89998,0.00301
27.49959,0,37.00208,0.00303
27.60108,0,36.89998,0.00303
27.60108,0,37.00208,0.00303
27.49959,0,37.00208,0.00303
27.49959,0,36.89998,0.00305
27.49959,0,37.00208,0.00305
27.49959,0,37.00208,0.00305
27.49959,0,37.00208,0.00305
27.60108,0,37.00208,0.00305
27.60108,0,36.89998,0.00305
27.49959,0,36.89998,0.00305
27.60108,0,36.79816,0.00308
27.60108,0,36.89998,0.00308
27.60108,0,37.00208,0.00308
27.60108,0,37.00208,0.00308
27.49959,0,37.00208,0.00308
27.49959,0,36.79816,0.00308
27.49959,0,37.00208,0.00308
27.60108,0,37.00208,0.00315
27.60108,0,36.89998,0.00316
27.49959,0,36.89998,0.00321
27.49959,0,37.00208,0.00323
27.60108,0,37.00208,0.00323
27.49959,0,36.89998,0.00323
27.49959,0,37.00208,0.00324
27.60108,0,36.89998,0.00326
27.49959,0,36.89998,0.00326
27.49959,0,37.00208,0.00326
27.60108,0,36.89998,0.00326
27.49959,0,37.00208,0.00333
27.60108,0,36.89998,0.00333
27.60108,0,36.89998,0.00333
27.60108,0,37.00208,0.00333
27.49959,0,37.00208,0.00333
27.60108,0,37.00208,0.00333
27.49959,0,37.00208,0.00333
27.60108,0,37.00208,0.00333
27.60108,0,37.00208,0.00333
27.49959,0,36.89998,0.00335
27.60108,0,37.00208,0.0034
27.60108,0,37.00208,0.00345
27.49959,0,37.00208,0.0035
27.49959,0,36.89998,0.0035
27.49959,0,36.89998,0.00351
27.60108,0,37.00208,0.00351
27.49959,0,36.89998,0.00352
27.60108,0,36.89998,0.00352
27.49959,0,36.89998,0.00353
27.49959,0,36.89998,0.00353
27.60108,0,36.89998,0.00357
27.49959,0,36.79816,0.0036
27.60108,0,36.89998,0.0036
27.49959,0,36.89998,0.0036
27.49959,0,36.89998,0.0036
27.49959,0,36.89998,0.00369
27.60108,0,37.00208,0.00382
27.60108,0,37.00208,0.00385
27.60108,0,37.00208,0.00387
27.49959,0,37.00208,0.00387
27.49959,0,36.89998,0.00391
27.60108,0,37.00208,0.00391
27.49959,0,37.00208,0.00391
