MS-0.25m,Normalized CAT-RMS,MS-0.5m,Normalized CAT-RMS,MS-0.75m,Normalized CAT-RMS
x1,y1,x2,y2,x3,y3
42.59,0,12.8,0,36.7,0
42.59,0,12.7,0,36.7,0
42.5,0,12.7,0,36.7,0
42.59,0,12.7,0,36.7,0
42.59,0,12.7,0,36.7,0
42.59,0,12.6,0,36.8,0
42.59,0,12.6,0,36.7,0
42.59,0,12.6,0,36.7,0
42.5,0,12.6,0,36.7,0
42.59,0,12.6,0,36.7,0
42.69,0,12.5,0,36.8,0
42.81,0,12.5,0,36.7,0
42.59,0,12.5,0,36.8,0
42.5,0,12.4,0,36.9,0
42.5,0,12.4,0,36.8,0
42.59,0,12.4,0,36.8,0
42.59,0,12.4,0,36.7,0
42.81,0,12.4,0,36.7,0
42.4,0,12.4,0,36.8,0
42.69,0,12.4,0,36.8,0
42.59,0,12.3,0,36.7,0
42.59,0,12.3,0,36.8,0
42.59,0,12.3,0,36.8,0
42.59,0,12.2,0,36.8,0
42.5,0,12.2,0,36.8,0
42.59,0,12.2,0,36.6,0
42.59,0,12.2,0,36.8,0
42.69,0,12.2,0,36.9,0
42.5,0,12.2,0,36.7,0
42.59,0,12.2,0,36.8,0
42.59,0,12.1,0,36.8,0
42.5,0,12.1,0,36.7,0
42.59,0,12.1,0,36.8,0
42.59,0,12.1,0,36.7,0
42.59,0,12,0,36.7,0
42.69,0,12.1,0,36.8,0
42.5,0,12,0,36.8,0
42.4,0,12,0,36.7,0
42.5,0,12,0,36.7,0
42.4,0,12,0,36.7,0
42.59,0,12,0,36.8,0
42.3,0,11.9,0,36.8,0
42.4,0,11.9,0,36.7,0
42.4,0,11.9,0,36.8,0
42.5,0,11.9,0,36.8,0
42.59,0,11.9,0,36.7,0
42.4,0,11.8,0,36.7,0
42.59,0,11.8,0,36.8,0
42.5,0,11.8,0,36.8,0
42.59,0,11.8,0,36.8,0
42.5,0,11.8,0,36.8,0
42.69,0,11.8,0,36.7,0
42.4,0,11.7,0,36.7,0
42.5,0,11.7,0,36.7,0
42.59,0,11.7,0,36.8,0
42.4,0,11.7,0,36.8,0
42.5,0,11.7,0,36.7,0
42.4,0,11.7,0,36.7,0
42.4,0,11.7,0,36.8,0
42.59,0,11.6,0,36.7,0
42.4,0,11.6,0,36.8,0
42.5,0,11.6,0,36.7,0
42.81,0,11.6,0,36.7,0
42.5,0,11.6,0,36.7,0
42.4,0,11.6,0,36.7,0
42.59,0,11.6,0,36.8,0
42.4,0,11.5,0,36.8,0
42.3,0,11.5,0,36.7,0
42.59,0,11.5,0,36.7,0
42.4,0,11.5,0,36.7,0
42.59,0,11.5,0,36.7,0
42.4,0,11.5,0,36.7,0
42.5,0,11.5,0,36.8,0
42.59,0,11.4,0,36.8,0
42.5,0,11.4,0,36.8,0
42.59,0,11.4,0,36.7,0
42.69,0,11.4,0,36.7,0
42.5,0,11.4,0,36.8,0
42.5,0,11.4,0,36.8,0
42.5,0,11.4,0,36.7,0
42.4,0,11.3,0,36.7,0
42.4,0,11.3,0,36.8,0
42.59,0,11.3,0,36.8,0
42.4,0,11.3,0,36.7,0
42.5,0,11.3,0,36.7,0
42.4,0,11.3,0,36.8,0
42.5,0,11.3,0,36.8,0
42.59,0,11.2,0,36.7,0
42.4,0,11.2,0,36.8,0
42.3,0,11.2,0,36.7,0
42.3,0,11.2,0,36.8,0
42.4,0,11.2,0,36.7,0
42.3,0,11.2,0,36.8,0
42.3,0,11.2,0,36.8,0
42.2,0,11.1,0,36.7,0
42.5,0,11.1,0,36.7,0
42.5,0,11.1,0,36.8,0
42.5,0,11.1,0,36.8,0
42.2,0,11.1,0,36.8,0
42.3,0,11.1,0,36.7,0
42.5,0,11.1,0,36.8,0
42.2,0,11.1,0,36.8,0
42.3,0,11,0,36.7,0
42.4,0,11,0,36.8,0
42.4,0,11,0,36.7,0
42.3,0,11,0,36.8,0
42.2,0,11,0,36.8,0
42.4,0,11,0,36.8,0
42.3,0,11,0,36.8,0
42.3,0,11,0,36.7,0
42.2,0,10.9,0,36.7,0
42.3,0,10.9,0,36.7,0
42.3,0,10.9,0,36.7,0
42.4,0,10.9,0,36.7,0
42.2,0,10.9,0,36.7,0
42.2,0,10.9,0,36.7,0
42.11,0,10.9,0,36.8,0
42.2,0,10.9,0,36.7,0
42.3,0,10.9,0,36.7,0
41.99,0,10.8,0,36.8,0
