Time,Ch240-242,Ch245-247,Ch250-252,Ch255-257
09:42.7,9.295318e-05,0.000150754,-0.0000769,-0.000704492
09:43.7,8.6068896e-05,0.000153038,-0.00007,-0.000702967
09:44.7,8.129356e-05,0.000157841,-0.0000623,-0.000702948
09:45.7,7.944055e-05,0.000163581,-0.000054,-0.000706578
09:46.7,8.018216e-05,0.000169009,-0.000045,-0.000714263
09:47.7,8.391244e-05,0.00017389,-0.0000349,-0.000725196
09:48.7,9.0805945e-05,0.000178758,-0.0000234,-0.000737631
09:49.7,9.951312e-05,0.000184913,-0.0000121,-0.000749074
09:50.7,0.000108234,0.0001932,-0.0000033,-0.000756812
09:51.7,0.000116239,0.000203479,1.055598e-06,-0.000759986
09:52.7,0.000123194,0.000215412,1.6421841e-06,-0.000759978
09:53.7,0.000128336,0.000228327,1.3148901e-06,-0.000759258
09:54.7,0.000130927,0.000239611,2.5950196e-06,-0.000760225
09:55.7,0.000130663,0.000246184,6.1590536e-06,-0.000763628
09:56.7,0.000127893,0.00024671,1.1449622e-05,-0.000768303
09:57.7,0.000124208,0.000241442,1.6722097e-05,-0.000771715
09:58.7,0.000121161,0.000232679,1.9541661e-05,-0.00077177
09:59.7,0.000118723,0.000224179,1.8239805e-05,-0.000768341
10:00.7,0.000115925,0.000219692,1.3363908e-05,-0.000763925
10:01.7,0.000112584,0.000221533,6.963778e-06,-0.000762611
10:02.7,0.000110051,0.000227584,2.1432595e-06,-0.000767089
10:03.7,0.000110166,0.000233911,9.752453e-07,-0.000775998
10:04.7,0.000113492,0.000238559,3.4251038e-06,-0.000785189
10:05.7,0.000119438,0.000241195,8.554988e-06,-0.000791897
10:06.7,0.000127702,0.000242097,1.6002386e-05,-0.000794459
10:07.7,0.000137377,0.000241546,2.5374658e-05,-0.000792187
10:08.7,0.000146051,0.000240799,3.5168134e-05,-0.000786193
10:09.7,0.000151449,0.000241144,4.4555203e-05,-0.000778651
10:10.7,0.000153225,0.000242962,5.3954856e-05,-0.000771472
10:11.7,0.000151732,0.000246127,6.3983345e-05,-0.000766733
10:12.7,0.000147805,0.000249617,7.4854535e-05,-0.000766657
10:13.7,0.000142977,0.000252691,8.497782e-05,-0.000770379
10:14.7,0.000138944,0.000255174,9.188255e-05,-0.000775425
10:15.7,0.000136652,0.000257301,9.364326e-05,-0.00078045
10:16.7,0.000136006,0.000259393,9.099901e-05,-0.000785313
10:17.7,0.000136474,0.000261567,8.723372e-05,-0.000790372
10:18.7,0.000137687,0.000263855,8.555211e-05,-0.000794385
10:19.7,0.000138369,0.000266141,8.68796e-05,-0.00079588
10:20.7,0.000137098,0.000269624,9.080796e-05,-0.000795573
10:21.7,0.000134125,0.000277572,9.713123e-05,-0.000794878
10:22.7,0.000131276,0.000292319,0.000105534,-0.000793761
10:23.7,0.000131049,0.000312689,0.000114233,-0.00079162
10:24.7,0.000134276,0.000332723,0.000120235,-0.000788224
10:25.7,0.000139236,0.000345368,0.000122936,-0.000783929
10:26.7,0.000144477,0.000348269,0.000123248,-0.00078032
10:27.6,0.00015067,0.000343435,0.000123129,-0.000778951
10:28.6,0.000158779,0.000333642,0.000124504,-0.000780045
10:29.6,0.000167468,0.000320924,0.0001273,-0.000782855
10:30.6,0.000173675,0.000305428,0.000130775,-0.000786471
10:31.6,0.000174903,0.000286382,0.000134792,-0.000790812
10:32.6,0.000170133,0.000263791,0.000138541,-0.000796807
10:33.6,0.000160455,0.000239543,0.000139848,-0.000804528
10:34.6,0.000149445,0.000215258,0.000137205,-0.000812498
10:35.6,0.000140554,0.000193638,0.000130579,-0.000818501
10:36.6,0.000134944,0.000178294,0.000121272,-0.000821745
10:37.6,0.000131715,0.000171156,0.000111447,-0.000823041
10:38.6,0.000129495,0.000172841,0.000103887,-0.000823035
10:39.6,0.000128446,0.000182098,0.00010174,-0.000820935
10:40.6,0.000128483,0.000195574,0.0001063,-0.000816099
10:41.6,0.000129481,0.000209554,0.000115823,-0.000810224
10:42.6,0.00013218,0.000221899,0.000126774,-0.000805117
10:43.6,0.000137076,0.000230143,0.000135795,-0.000801665
10:44.6,0.000142835,0.000232354,0.00014116,-0.000799571
10:45.6,0.00014651,0.00022873,0.000142812,-0.000797577
10:46.6,0.000145275,0.000222562,0.000141312,-0.000795229
10:47.6,0.000138296,0.00021718,0.000137848,-0.000792756
10:48.6,0.000126984,0.000212457,0.000133875,-0.000790806
10:49.6,0.000115098,0.000207669,0.0001295,-0.000790671
10:50.6,0.000106817,0.000203065,0.00012526,-0.000792415
10:51.6,0.000104519,0.000199102,0.000122102,-0.000794676
10:52.6,0.000108722,0.000197099,0.000120503,-0.000796743
10:53.6,0.000117383,0.000197934,0.000121056,-0.000799704
10:54.6,0.000126596,0.000201527,0.000123171,-0.000804333
10:55.6,0.000132441,0.000206566,0.000124743,-0.000811487
10:56.6,0.000131375,0.000211248,0.000124094,-0.000822889
10:57.6,0.000121926,0.000213949,0.000120615,-0.000837885
10:58.6,0.000106941,0.000213745,0.000113848,-0.000853341
10:59.6,9.159048e-05,0.000211086,0.000103942,-0.000866028
11:00.6,7.885693e-05,0.000205821,9.2372065e-05,-0.000873199
11:01.6,6.9409034e-05,0.000198289,8.108841e-05,-0.0008725
11:02.6,6.400486e-05,0.00019087,7.098508e-05,-0.000863786
11:03.6,6.4918095e-05,0.000186843,6.246338e-05,-0.000849858
11:04.6,7.328121e-05,0.000187735,5.6323068e-05,-0.000835012
11:05.6,8.767822e-05,0.000191871,5.2385283e-05,-0.000823957
11:06.6,0.000104331,0.000196086,4.9769074e-05,-0.000819622
11:07.6,0.000119452,0.000197605,4.8155103e-05,-0.000822321
11:08.6,0.000130549,0.000195984,4.7706988e-05,-0.000829558
11:09.6,0.000135687,0.000193657,4.8536345e-05,-0.000837511
