case,panel,series,x,y,x_unit,y_unit,source_file,downsample_factor,interpolation_method,label
S1,Logistic_Lmax_right_axis,Logistic_baseline,6.584211,5374.149939,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,6.596917,5510.366104,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,6.609624,5649.574862,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,6.622331,5791.818542,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,6.635038,5937.138861,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,6.647744,6085.576853,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,6.660451,6237.172792,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,6.673158,6391.966107,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,6.685865,6549.995307,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,6.698571,6711.297889,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,6.711278,6875.910254,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,6.723985,7043.867618,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,6.736692,7215.203918,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,6.749398,7389.951721,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,6.762105,7568.142129,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,6.774812,7749.804676,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,6.787519,7934.967240,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,6.800226,8123.655932,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,6.812932,8315.895002,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,6.825639,8511.706737,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,6.838346,8711.111352,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,6.851053,8914.126897,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,6.863759,9120.769144,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,6.876466,9331.051490,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,6.889173,9544.984854,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,6.901880,9762.577572,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,6.914586,9983.835298,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,6.927293,10208.760908,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,6.940000,10437.354395,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,6.952707,10669.612781,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,6.965414,10905.530020,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,6.978120,11145.096908,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,6.990827,11388.301000,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,7.003534,11635.126521,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,7.016241,11885.554294,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,7.028947,12139.561660,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,7.041654,12397.122413,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,7.054361,12658.206733,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,7.067068,12922.781129,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,7.079774,13190.808389,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,7.092481,13462.247532,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,7.105188,13737.053769,h,voxels,,,,
S1,Logistic_Lmax_right_axis,Logistic_baseline,7.117895,14015.178477,h,voxels,,,,
