CAT-RMS,Time(s),Ch90-92,S1Linear displacement sensor,Time(s),Slope surface,Horizontal crest platform
,558,0,,250707 14:37:14,0,0.4
,559,0,,250707 14:37:18,0,0.4
,560,0,,250707 14:37:22,0,0.4
,561,0,,250707 14:37:26,0,0.4
,562,0,,250707 14:37:30,0,0.4
,563,0,,250707 14:37:34,0,0.4
,564,0,,250707 14:37:38,0,0.4
,565,0,,250707 14:37:42,0,0.4
,566,0,,250707 14:37:46,0,0.3
,567,0,,250707 14:37:50,0,0.4
,568,0,,250707 14:37:54,0,0.4
,569,0,,250707 14:37:58,0,0.4
,570,0,,250707 14:38:02,0,0.4
,571,0,,250707 14:38:06,0,0.4
,572,0,,250707 14:38:10,0,0.4
,573,0,,250707 14:38:14,0,0.4
,574,0,,250707 14:38:18,0,0.4
,575,0,,250707 14:38:22,0,0.4
,576,0,,250707 14:38:26,0,0.4
,577,0,,250707 14:38:30,0,0.4
,578,0,,250707 14:38:34,0,0.4
,579,0,,250707 14:38:38,0,0.4
,580,0,,250707 14:38:42,0,0.4
,581,0,,250707 14:38:46,0,0.4
,582,0,,250707 14:38:50,0,0.4
,583,0,,250707 14:38:54,0,0.4
,584,0,,250707 14:38:58,0,0.4
,585,0,,250707 14:39:02,0,0.4
,586,0,,250707 14:39:06,0,0.4
,587,0,,250707 14:39:10,0,0.4
,588,0,,250707 14:39:14,0,0.4
,589,0,,250707 14:39:18,0,0.4
,590,0,,250707 14:39:22,0,0.4
,591,0,,250707 14:39:26,0,0.4
,592,0,,250707 14:39:30,0,0.4
,593,0,,250707 14:39:34,0,0.4
,594,0,,250707 14:39:38,0,0.4
,595,0,,250707 14:39:42,0,0.4
,596,0,,250707 14:39:46,0,0.4
,597,0,,250707 14:39:50,0,0.4
,598,0,,250707 14:39:54,0,0.4
,599,0,,250707 14:39:58,0,0.4
,600,0,,250707 14:40:02,0,0.4
,601,0,,250707 14:40:06,0,0.4
,602,0,,250707 14:40:10,0,0.4
,603,0,,250707 14:40:14,0,0.4
,604,0,,250707 14:40:18,0,0.4
,605,0,,250707 14:40:22,0,0.4
,606,0,,250707 14:40:26,0,0.4
,607,0,,250707 14:40:30,0,0.4
,608,0,,250707 14:40:34,0,0.4
,609,0,,250707 14:40:38,0,0.4
,610,0,,250707 14:40:42,0,0.4
,611,0,,250707 14:40:46,0,0.4
,612,0,,250707 14:40:50,0,0.4
,613,0,,250707 14:40:54,0,0.4
,614,0,,250707 14:40:58,0,0.4
,615,0,,250707 14:41:02,0,0.4
,616,0,,250707 14:41:06,0,0.4
,617,0,,250707 14:41:10,0,0.4
,618,0,,250707 14:41:14,0,0.4
,619,0,,250707 14:41:18,0,0.4
,620,0,,250707 14:41:22,0,0.4
,621,0,,250707 14:41:26,0,0.4
,622,0,,250707 14:41:30,0,0.4
,623,0,,250707 14:41:34,0,0.4
,624,0,,250707 14:41:38,0,0.4
